loss,accuracy,0 true,1 true,conv_layers,conv_nodes,dense_layers,dense_nodes,optimizer,loss_function,epoch,batch_size
0.076577,0.7785999774932861,1941,1952,2,20,3,64,adam,huber_loss,10,128
0.451003,0.7886000275611877,1943,2000,2,20,3,64,Nadam,binary_crossentropy,10,128
0.072852,0.7936000227928162,1957,2011,2,20,3,64,Nadam,huber_loss,10,128
0.484675,0.7742000222206116,2048,1823,2,20,3,64,adam,binary_crossentropy,10,64
0.076471,0.777999997138977,1971,1919,2,20,3,64,adam,huber_loss,10,64
0.456561,0.7764000296592712,1929,1953,2,20,3,64,Nadam,binary_crossentropy,10,64
0.075521,0.7814000248908997,1884,2023,2,20,3,64,Nadam,huber_loss,10,64
0.452929,0.7752000093460083,1795,2081,3,10,1,128,adam,binary_crossentropy,10,128
0.073985,0.7853999733924866,2027,1900,3,10,1,128,adam,huber_loss,10,128
0.456496,0.7788000106811523,1791,2103,3,10,1,128,Nadam,binary_crossentropy,10,128
0.072774,0.7856000065803528,1950,1978,3,10,1,128,Nadam,huber_loss,10,128
0.453647,0.7807999849319458,1928,1976,3,10,1,128,adam,binary_crossentropy,10,64
0.077195,0.7739999890327454,1831,2039,3,10,1,128,adam,huber_loss,10,64
0.445297,0.7861999869346619,1923,2008,3,10,1,128,Nadam,binary_crossentropy,10,64
0.072312,0.7911999821662903,1935,2021,3,10,1,128,Nadam,huber_loss,10,64
0.466992,0.7721999883651733,1972,1889,3,10,1,32,adam,binary_crossentropy,10,128
0.076031,0.7752000093460083,1917,1959,3,10,1,32,adam,huber_loss,10,128
0.4622,0.7767999768257141,1906,1978,3,10,1,32,Nadam,binary_crossentropy,10,128
0.07565,0.7793999910354614,1923,1974,3,10,1,32,Nadam,huber_loss,10,128
0.459531,0.7806000113487244,1862,2041,3,10,1,32,adam,binary_crossentropy,10,64
0.076149,0.7749999761581421,1919,1956,3,10,1,32,adam,huber_loss,10,64
0.461907,0.774399995803833,1843,2029,3,10,1,32,Nadam,binary_crossentropy,10,64
0.076019,0.7803999781608582,1926,1976,3,10,1,32,Nadam,huber_loss,10,64
0.455546,0.7789999842643738,1971,1924,3,10,1,64,adam,binary_crossentropy,10,128
0.075481,0.7760000228881836,1940,1940,3,10,1,64,adam,huber_loss,10,128
0.450623,0.782800018787384,1922,1992,3,10,1,64,Nadam,binary_crossentropy,10,128
0.076268,0.7760000228881836,1850,2030,3,10,1,64,Nadam,huber_loss,10,128
0.456903,0.7784000039100647,1810,2082,3,10,1,64,adam,binary_crossentropy,10,64
0.075906,0.7781999707221985,1793,2098,3,10,1,64,adam,huber_loss,10,64
0.454641,0.7784000039100647,1908,1984,3,10,1,64,Nadam,binary_crossentropy,10,64
0.074789,0.7843999862670898,1960,1962,3,10,1,64,Nadam,huber_loss,10,64
0.451846,0.7864000201225281,1893,2039,3,10,2,128,adam,binary_crossentropy,10,128
0.074344,0.7793999910354614,1911,1986,3,10,2,128,adam,huber_loss,10,128
0.449798,0.7874000072479248,1913,2024,3,10,2,128,Nadam,binary_crossentropy,10,128
0.073419,0.7871999740600586,1917,2019,3,10,2,128,Nadam,huber_loss,10,128
0.453357,0.7860000133514404,1930,2000,3,10,2,128,adam,binary_crossentropy,10,64
0.075588,0.7760000228881836,1796,2084,3,10,2,128,adam,huber_loss,10,64
0.456416,0.7807999849319458,1878,2026,3,10,2,128,Nadam,binary_crossentropy,10,64
0.073752,0.7835999727249146,1888,2030,3,10,2,128,Nadam,huber_loss,10,64
